etherchannel;etherchannel tipi;port vlan;trunk allowed vlans;generic host hostname;tag;seri no;SWITCH;PORT;SPEED;NEW DESCRIPTION;
;;;;HP-ILO-1;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/26;1G;HP-ILO-1
;;;;HP-ILO-2;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/27;1G;HP-ILO-2
;;;;OPENSTACK1-ILO-WZP25380021;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/28;1G;OPENSTACK1-ILO-WZP25380021
;;;;OPENSTACK2-ILO-WZP25380022;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/29;1G;OPENSTACK2-ILO-WZP25380022
;;;;OPENSTACK3-ILO-WZP25370UR9;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/30;1G;OPENSTACK3-ILO-WZP25370UR9
;;;;OPENSTACK3-ILO-WZP25370UR5;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/31;1G;OPENSTACK3-ILO-WZP25370UR5
;;;;KERVAN01-ILO-CZ204909YZ;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/32;1G;KERVAN01-ILO-CZ204909YZ
;;;;SERIK01-ILO-CZ204909YX;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/33;1G;SERIK01-ILO-CZ204909YX
vpc 12;LACP ACTIVE;;;ROCKY01-DATA-FCH2031V1YF;;;UMK-DC-F1-H1-R0-1BC51-U25-A-C-45;xe-0/0/10;1G;ROCKY01-DATA-FCH2031V1YF
vpc 12;LACP ACTIVE;;;ROCKY01-DATA-FCH2031V1YF;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/10;1G;ROCKY01-DATA-FCH2031V1YF
